modelNameMod2,filePathMod2,hydroModelMod2,settlementRadiusMod2,precompPeriodMod2,dateMod2,spawningSeasonMod2,yearMod2,monthDayMod2,mod1IndMod2,mod2IndMod2,dayMod2,spawningSeasonYearMod2
conMat_SLIM_1km_compSurvTc9_20200114,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20200114.mat,SLIM,1,9,20200114,2019-20,2020,0114,98,98,45,2019
conMat_SLIM_1km_compSurvTc9_20200121,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20200121.mat,SLIM,1,9,20200121,2019-20,2020,0121,99,99,52,2019
conMat_SLIM_1km_compSurvTc9_20200128,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20200128.mat,SLIM,1,9,20200128,2019-20,2020,0128,100,100,59,2019
conMat_SLIM_1km_compSurvTc12_20191201,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20191201.mat,SLIM,1,12,20191201,2019-20,2019,1201,101,101,1,2019
conMat_SLIM_1km_compSurvTc12_20191207,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20191207.mat,SLIM,1,12,20191207,2019-20,2019,1207,102,102,7,2019
conMat_SLIM_1km_compSurvTc12_20191214,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20191214.mat,SLIM,1,12,20191214,2019-20,2019,1214,103,103,14,2019
conMat_SLIM_1km_compSurvTc12_20191221,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20191221.mat,SLIM,1,12,20191221,2019-20,2019,1221,104,104,21,2019
conMat_SLIM_1km_compSurvTc12_20191228,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20191228.mat,SLIM,1,12,20191228,2019-20,2019,1228,105,105,28,2019
conMat_SLIM_1km_compSurvTc12_20200101,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20200101.mat,SLIM,1,12,20200101,2019-20,2020,0101,106,106,32,2019
conMat_SLIM_1km_compSurvTc12_20200107,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20200107.mat,SLIM,1,12,20200107,2019-20,2020,0107,107,107,38,2019
conMat_SLIM_1km_compSurvTc12_20200114,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20200114.mat,SLIM,1,12,20200114,2019-20,2020,0114,108,108,45,2019
conMat_SLIM_1km_compSurvTc12_20200121,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvTc12/conMat_SLIM_1km_compSurvTc12_20200121.mat,SLIM,1,12,20200121,2019-20,2020,0121,109,109,52,2019
